1	Yes! Now I just need to decide on a color!	neutral	strong_nod
1	Yes! Now I just need to decide on a color!	neutral	nod
1	Yes! Now I just need to decide on a color!	neutral	slow_breath
1	Yes! Now I just need to decide on a color!	joy	strong_nod
1	Yes! Now I just need to decide on a color!	joy	nod
1	Yes! Now I just need to decide on a color!	joy	slow_breath
3	Thank you, would you like to help me pick one out ?	neutral	strong_nod
3	Thank you, would you like to help me pick one out ?	neutral	nod
3	Thank you, would you like to help me pick one out ?	neutral	slow_breath
3	Thank you, would you like to help me pick one out ?	joy	strong_nod
3	Thank you, would you like to help me pick one out ?	joy	nod
3	Thank you, would you like to help me pick one out ?	joy	slow_breath
4	Hooray! He'll love it!	neutral	strong_nod
4	Hooray! He'll love it!	neutral	nod
4	Hooray! He'll love it!	neutral	slow_breath
4	Hooray! He'll love it!	joy	strong_nod
4	Hooray! He'll love it!	joy	nod
4	Hooray! He'll love it!	joy	slow_breath
5	Where do you think I should go to buy one?	neutral	light_head_shake
5	Where do you think I should go to buy one?	neutral	strong_head_shake
5	Where do you think I should go to buy one?	neutral	slow_breath
5	Where do you think I should go to buy one?	anger	light_head_shake
5	Where do you think I should go to buy one?	anger	strong_head_shake
5	Where do you think I should go to buy one?	anger	slow_breath
5	Where do you think I should go to buy one?	neutral	strong_nod
5	Where do you think I should go to buy one?	neutral	nod
5	Where do you think I should go to buy one?	joy	strong_nod
5	Where do you think I should go to buy one?	joy	nod
5	Where do you think I should go to buy one?	joy	slow_breath
6	It's a very good idea and he will love it!	neutral	strong_nod
6	It's a very good idea and he will love it!	neutral	nod
6	It's a very good idea and he will love it!	neutral	slow_breath
6	It's a very good idea and he will love it!	joy	strong_nod
6	It's a very good idea and he will love it!	joy	nod
6	It's a very good idea and he will love it!	joy	slow_breath
7	I thought so too!	neutral	strong_nod
7	I thought so too!	neutral	nod
7	I thought so too!	neutral	slow_breath
7	I thought so too!	joy	strong_nod
7	I thought so too!	joy	nod
7	I thought so too!	joy	slow_breath
8	I am going to find a store to get one right now	neutral	strong_nod
8	I am going to find a store to get one right now	neutral	nod
8	I am going to find a store to get one right now	neutral	slow_breath
8	I am going to find a store to get one right now	joy	strong_nod
8	I am going to find a store to get one right now	joy	nod
8	I am going to find a store to get one right now	joy	slow_breath
10	Where can I get one right now?	neutral	strong_nod
10	Where can I get one right now?	neutral	nod
10	Where can I get one right now?	neutral	slow_breath
10	Where can I get one right now?	joy	strong_nod
10	Where can I get one right now?	joy	nod
10	Where can I get one right now?	joy	slow_breath
12	Cool! I think so, too. I hope it's not too cliched...but whatever, I think it's fun!	neutral	strong_nod
12	Cool! I think so, too. I hope it's not too cliched...but whatever, I think it's fun!	neutral	nod
12	Cool! I think so, too. I hope it's not too cliched...but whatever, I think it's fun!	neutral	slow_breath
12	Cool! I think so, too. I hope it's not too cliched...but whatever, I think it's fun!	joy	strong_nod
12	Cool! I think so, too. I hope it's not too cliched...but whatever, I think it's fun!	joy	nod
12	Cool! I think so, too. I hope it's not too cliched...but whatever, I think it's fun!	joy	slow_breath
13	Great, but what if he thinks I mean I love LA more than I love him?	neutral	light_head_shake
13	Great, but what if he thinks I mean I love LA more than I love him?	neutral	strong_head_shake
13	Great, but what if he thinks I mean I love LA more than I love him?	neutral	slow_breath
13	Great, but what if he thinks I mean I love LA more than I love him?	anger	light_head_shake
13	Great, but what if he thinks I mean I love LA more than I love him?	anger	strong_head_shake
13	Great, but what if he thinks I mean I love LA more than I love him?	anger	slow_breath
14	Great, that is what I will get!	neutral	strong_nod
14	Great, that is what I will get!	neutral	nod
14	Great, that is what I will get!	neutral	slow_breath
14	Great, that is what I will get!	joy	strong_nod
14	Great, that is what I will get!	joy	nod
14	Great, that is what I will get!	joy	slow_breath
15	You are brilliant! Let us please be best friends forever!	neutral	strong_nod
15	You are brilliant! Let us please be best friends forever!	neutral	nod
15	You are brilliant! Let us please be best friends forever!	neutral	slow_breath
15	You are brilliant! Let us please be best friends forever!	joy	strong_nod
15	You are brilliant! Let us please be best friends forever!	joy	nod
15	You are brilliant! Let us please be best friends forever!	joy	slow_breath
16	I guess that's a good idea, tell me what you really think.	neutral	light_head_shake
16	I guess that's a good idea, tell me what you really think.	neutral	strong_head_shake
16	I guess that's a good idea, tell me what you really think.	neutral	slow_breath
16	I guess that's a good idea, tell me what you really think.	anger	light_head_shake
16	I guess that's a good idea, tell me what you really think.	anger	strong_head_shake
16	I guess that's a good idea, tell me what you really think.	anger	slow_breath
17	Great! I'll get him an 'I love LA' shirt.	neutral	strong_nod
17	Great! I'll get him an 'I love LA' shirt.	neutral	nod
17	Great! I'll get him an 'I love LA' shirt.	neutral	slow_breath
17	Great! I'll get him an 'I love LA' shirt.	joy	strong_nod
17	Great! I'll get him an 'I love LA' shirt.	joy	nod
17	Great! I'll get him an 'I love LA' shirt.	joy	slow_breath
18	Great, I'll buy it in his favorite color too.	neutral	strong_nod
18	Great, I'll buy it in his favorite color too.	neutral	nod
18	Great, I'll buy it in his favorite color too.	neutral	slow_breath
18	Great, I'll buy it in his favorite color too.	joy	strong_nod
18	Great, I'll buy it in his favorite color too.	joy	nod
18	Great, I'll buy it in his favorite color too.	joy	slow_breath
19	Yay! I'll buy one today!	neutral	strong_nod
19	Yay! I'll buy one today!	neutral	nod
19	Yay! I'll buy one today!	neutral	slow_breath
19	Yay! I'll buy one today!	joy	strong_nod
19	Yay! I'll buy one today!	joy	nod
19	Yay! I'll buy one today!	joy	slow_breath
20	You think so? I'm excited that he will enjoy the shirt!!	neutral	strong_nod
20	You think so? I'm excited that he will enjoy the shirt!!	neutral	nod
20	You think so? I'm excited that he will enjoy the shirt!!	neutral	slow_breath
